sp,Ns,N1,N2,interval_length,int
aegipa,46,74,64,2.985398926323585,1
beilpe,1582,1866,2143,3.131914194361133,1
tet2pa,2435,2706,3087,3.295361469170426,1
alsebl,5433,6160,6518,3.2714596755377423,1
ocotob,90,164,130,3.2202734585828487,1
solaha,15,52,42,3.023041798384264,1
quaras,1116,1311,1284,3.44937107802654,1
gustsu,29,98,50,3.2894313670673774,1
pterro,1137,1324,1398,3.152696955487028,1
virosu,53,78,53,3.345131253686433,1
simaam,549,771,763,3.067799376251765,1
protte,1773,2029,2209,3.636880120093236,1
brosal,408,452,475,3.359720680656668,1
ingape,113,160,153,4.111253245590475,1
poular,833,1588,936,3.513568372381905,1
casear,45,84,59,3.073028403374351,1
hirttr,2672,3007,3432,3.3771011326839964,1
ocotwh,507,835,607,3.8249396069182744,1
guatdu,764,974,922,3.2559343269706766,1
anacex,1,2,1,4.342465753424658,1
tri2tu,7858,9273,9509,3.5540897640483347,1
guarsp,1078,1296,1234,3.374854851039696,1
guargu,1027,1218,1251,3.545848231327887,1
zantpr,118,138,149,3.2067471183044134,1
termob,30,35,33,3.4909422997094213,1
guazul,5,14,8,3.7299412915851264,1
tab1ro,151,193,187,3.2947393631698865,1
sloate,396,450,427,3.389816189549402,1
alchco,73,151,86,3.332751181989454,1
loncla,467,566,582,3.0957020471012764,1
luehse,42,80,79,3.0335629443384757,1
tripcu,108,162,129,3.700433809619327,1
cecrob,2,14,12,3.0565231572080886,1
licapl,208,226,262,3.84791550028271,1
eugeco,561,628,658,3.3687149283058284,1
heisco,428,477,530,3.400643864334741,1
eugene,389,428,449,3.393109511770136,1
pri2co,774,845,861,2.919497823276382,1
sponra,61,108,85,3.274422956397172,1
poutre,1160,1362,1413,3.3489744466571474,1
guapst,57,81,63,3.2767509845135416,1
cordbi,260,354,395,2.884928587453063,1
zantbe,15,78,101,3.001891864634302,1
annosp,12,30,42,3.2585127201565554,1
tab2ar,749,867,894,3.141970088307347,1
jac1co,27,59,35,3.0166081793757673,1
zantp1,114,179,132,3.2520915514678426,1
chr2ar,257,298,340,3.298665343493286,1
eugeoe,1438,1676,1760,3.2782831312768037,1
huracr,9,14,10,3.8194520547945223,1
sapiau,9,17,15,3.4672253558957817,1
apeime,29,62,34,3.1176028696940556,1
ficuyo,0,0,0,NA,1
ingago,284,349,317,3.3536243056612327,1
ceibpe,9,24,15,3.070593607305936,1
cavapl,1,1,1,2.506849315068493,1
chr2ca,38,43,53,3.262001478658629,1
lindla,8,16,10,3.4802739726027396,1
virose,1193,1419,1315,3.23422392250066,1
pla1pi,70,94,84,3.3649720336983515,1
lacmpa,27,30,30,3.0927853881278535,1
drypst,1455,1630,1635,3.7210941273558062,1
myrofr,7,9,7,3.8107414655359824,1
